id,question,intent,intent_vi,location_scope,location_name,time_expression,weather_param,difficulty,expected_tools,expected_abstain,expected_clarification,expected_grounding_keys,disambiguation_rule_ref,gold_response_constraint,source,notes
v2_0421,"Sáng mai ở xã Đan Phượng dự báo gió thế nào?",wind_query,"Truy vấn gió",ward,"Xã Đan Phượng (Đan Phượng)","sáng mai","wind",medium,"[""get_current_weather"", ""get_hourly_forecast"", ""get_pressure_trend"", ""get_weather_alerts"", ""get_daily_forecast""]",False,False,"[""wind_speed""]","wind direct ward","Morning wind xã",v2_new,"morning wind xã"
v2_0422,"Toàn Hà Nội ngày mai sương mù có lan rộng và kéo dài đến trưa không?",humidity_fog_query,"Độ ẩm, mây, sương mù",city,"Hà Nội","ngày mai","fog",medium,"[""get_current_weather"", ""detect_phenomena"", ""get_humidity_timeline"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""weather"", ""visibility""]","fog forecast city + spread + duration","Citywide fog tomorrow + spread extent + duration",v2_new,"city fog spread + duration"
v2_0423,"Tối nay ở Hà Nội độ ẩm sẽ thay đổi thế nào so với ban ngày?",humidity_fog_query,"Độ ẩm, mây, sương mù",city,"Hà Nội","tối nay vs ban ngày","humidity",medium,"[""get_current_weather"", ""detect_phenomena"", ""get_humidity_timeline"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""humidity""]","humidity diurnal compare","Evening humidity vs daytime city",v2_new,"diurnal humidity compare"
v2_0424,"Trong 12 giờ tới ở phường Hồng Hà liệu sương mù có dày đặc đến mức cản trở giao thông không, mức tầm nhìn ước tính bao nhiêu?",humidity_fog_query,"Độ ẩm, mây, sương mù",ward,"Phường Hồng Hà","12 giờ tới","fog",hard,"[""get_current_weather"", ""detect_phenomena"", ""get_humidity_timeline"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""weather"", ""visibility"", ""humidity""]","fog 12h + visibility threshold + traffic","12h fog + visibility estimate + traffic concern",v2_new,"12h fog traffic concern"
v2_0425,"Đêm nay đến rạng sáng mai ở xã Hát Môn độ ẩm có lên trên 95% kéo dài bao nhiêu giờ liên tục?",humidity_fog_query,"Độ ẩm, mây, sương mù",ward,"Xã Hát Môn (Phúc Thọ)","đêm nay-rạng sáng mai","humidity",hard,"[""get_current_weather"", ""detect_phenomena"", ""get_humidity_timeline"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""humidity""]","humidity threshold + duration","Overnight humidity 95% threshold + continuous duration",v2_new,"overnight humidity threshold"
v2_0426,"Hôm qua ở quận Ba Đình trời có mưa không?",historical_weather,"Thời tiết quá khứ",district,"Quận Ba Đình","hôm qua","rain",easy,"[""get_weather_history"", ""get_daily_summary"", ""get_weather_period""]",False,False,"[""weather"", ""rain.1h""]","historical hôm qua","Direct rain past district",v2_new,"direct hist rain district"
v2_0427,"Ngày hôm kia ở huyện Thanh Trì nhiệt độ cao nhất bao nhiêu?",historical_weather,"Thời tiết quá khứ",district,"Huyện Thanh Trì","hôm kia","temperature_max",easy,"[""get_weather_history"", ""get_daily_summary"", ""get_weather_period""]",False,False,"[""temp.max""]","historical hôm kia","Direct hist temp_max district",v2_new,"direct hist temp district"
v2_0428,"Hôm Thứ Sáu vừa rồi ở phường Sơn Tây trời thế nào, có mưa không?",historical_weather,"Thời tiết quá khứ",ward,"Phường Sơn Tây (Sơn Tây)","Thứ Sáu vừa rồi","general",medium,"[""get_weather_history"", ""get_daily_summary"", ""get_weather_period""]",False,False,"[""weather"", ""rain.1h""]","historical specific past weekday","Past Friday ward + 2 metrics",v2_new,"past Fri weekday + dual"
v2_0429,"5 ngày qua ở xã Bát Tràng nhiệt độ thấp nhất rơi vào ngày nào?",historical_weather,"Thời tiết quá khứ",ward,"Xã Bát Tràng (Gia Lâm)","5 ngày qua","temperature_min",medium,"[""get_weather_history"", ""get_daily_summary"", ""get_weather_period""]",False,False,"[""temp.min""]","historical 5-day + identify min","Past 5-day + identify min temp day",v2_new,"5-day min day"
v2_0430,"Hiện tại quận Ba Đình với quận Hoàn Kiếm nơi nào nóng hơn?",location_comparison,"So sánh địa điểm",district,"Quận Ba Đình, Quận Hoàn Kiếm","hiện tại","temperature",easy,"[""compare_weather"", ""get_ward_ranking_in_district"", ""get_district_ranking"", ""get_district_multi_compare"", ""get_current_weather""]",False,False,"[""temp""]","2-district direct compare","Compare current temp 2 districts",v2_new,"2-district temp"
v2_0431,"Bây giờ quận Đống Đa và quận Hai Bà Trưng nơi nào nhiều mây hơn?",location_comparison,"So sánh địa điểm",district,"Quận Đống Đa, Quận Hai Bà Trưng","bây giờ","cloud",easy,"[""compare_weather"", ""get_ward_ranking_in_district"", ""get_district_ranking"", ""get_district_multi_compare"", ""get_current_weather""]",False,False,"[""clouds""]","2-district cloud compare","Compare current cloud 2 districts",v2_new,"2-district cloud"
v2_0432,"Trong 24 giờ tới giữa phường Hoàn Kiếm, phường Bạch Mai và xã Bát Tràng nơi nào có khả năng mưa lớn nhất?",location_comparison,"So sánh địa điểm",ward,"Phường Hoàn Kiếm (Hoàn Kiếm), Phường Bạch Mai (Hai Bà Trưng), Xã Bát Tràng (Gia Lâm)","24 giờ tới","rain",hard,"[""compare_weather"", ""get_current_weather""]",False,False,"[""pop"", ""rain.1h""]","3-ward + 24h + identify peak rain","3-ward future-frame + identify highest rain",v2_new,"3-ward 24h rain peak"
v2_0433,"Sáng mai phường Phú Lương, phường Hà Đông và phường Yên Nghĩa nhiệt độ thấp nhất chênh nhau thế nào, có khu nào đặc biệt lạnh hơn?",location_comparison,"So sánh địa điểm",ward,"Phường Phú Lương (Hà Đông), Phường Hà Đông (Hà Đông), Phường Yên Nghĩa (Hà Đông)","sáng mai","temperature_min",hard,"[""compare_weather"", ""get_current_weather""]",False,False,"[""temp.min"", ""temp.morn""]","3-ward same district + temp_min outlier","3-ward Hà Đông + temp_min + identify outlier",v2_new,"3-ward Hà Đông temp_min"
v2_0434,"Cuối tuần này ở Hà Nội đi du lịch ngoại thành có ổn không?",activity_weather,"Thời tiết theo hoạt động",city,"Hà Nội","cuối tuần","general",medium,"[""get_activity_advice"", ""get_best_time"", ""get_uv_safe_windows"", ""get_current_weather"", ""get_comfort_index"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""temp"", ""pop"", ""weather""]","#6 activity_weather (du lịch)","Travel activity weekend city",v2_new,"weekend travel city"
v2_0435,"Sáng mai đi chạy bộ ngoài trời ở Hà Nội có ổn không, không khí thế nào?",activity_weather,"Thời tiết theo hoạt động",city,"Hà Nội","sáng mai","general",medium,"[""get_activity_advice"", ""get_best_time"", ""get_uv_safe_windows"", ""get_current_weather"", ""get_comfort_index"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""weather"", ""temp"", ""humidity""]","#6 activity_weather (chạy bộ)","Run morning city + air comfort",v2_new,"morning run city"
v2_0436,"Cuối tuần đi leo núi ở huyện Sóc Sơn có ổn không, đặc biệt sáng sớm có sương mù dày không?",activity_weather,"Thời tiết theo hoạt động",district,"Huyện Sóc Sơn","cuối tuần + sáng sớm","general",hard,"[""get_activity_advice"", ""get_best_time"", ""get_uv_safe_windows"", ""get_current_weather"", ""get_comfort_index"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""temp"", ""weather"", ""visibility""]","#6 activity (leo núi) + fog concern","Hiking weekend district + fog concern morning",v2_new,"hiking + fog hard"
v2_0437,"Mai đưa con đi công viên ở quận Tây Hồ thì khoảng giờ nào tránh nắng và tránh mưa nhất?",activity_weather,"Thời tiết theo hoạt động",district,"Quận Tây Hồ","ngày mai","general",hard,"[""get_activity_advice"", ""get_best_time"", ""get_uv_safe_windows"", ""get_current_weather"", ""get_comfort_index"", ""get_clothing_advice"", ""get_rain_timeline"", ""get_daily_forecast"", ""get_weather_period"", ""get_hourly_forecast""]",False,False,"[""uvi"", ""pop"", ""weather""]","#6 activity + dual avoidance","Outdoor child activity + identify best slot avoiding sun+rain",v2_new,"identify best slot dual avoid"
v2_0438,"Hiện tại độ UV ở phường Hoàn Kiếm là bao nhiêu?",expert_weather_param,"Tham số chuyên sâu",ward,"Phường Hoàn Kiếm (Hoàn Kiếm)","hiện tại","uv",easy,"[""get_current_weather"", ""get_comfort_index"", ""get_pressure_trend"", ""get_weather_history"", ""get_uv_safe_windows"", ""get_humidity_timeline""]",False,False,"[""uvi""]","#5 expert (UV direct)","Number current UV ward",v2_new,"direct UV ward"
v2_0439,"Bây giờ điểm sương ở phường Ngọc Hà là bao nhiêu?",expert_weather_param,"Tham số chuyên sâu",ward,"Phường Ngọc Hà (Ba Đình)","bây giờ","dew_point",easy,"[""get_current_weather"", ""get_comfort_index"", ""get_pressure_trend"", ""get_weather_history"", ""get_uv_safe_windows"", ""get_humidity_timeline""]",False,False,"[""dew_point""]","#5 expert (dew point direct)","Number current dew point ward",v2_new,"direct dew point ward"
v2_0440,"Trong 3 ngày tới ở quận Long Biên có nguy cơ ngập lụt nào ở khu vực thấp không?",weather_alert,"Cảnh báo thời tiết",district,"Quận Long Biên","3 ngày tới","flood",hard,"[""get_weather_alerts"", ""get_weather_change_alert"", ""get_pressure_trend"", ""get_rain_timeline"", ""get_hourly_forecast"", ""get_current_weather"", ""get_daily_forecast""]",False,False,"[""alerts"", ""rain.1h"", ""rain.3h""]","#2 alert (ngập lụt = flood)","3-day flood risk district low areas",v2_new,"3-day flood low areas"
v2_0441,"Cuối tuần ở huyện Ba Vì có cảnh báo gió giật mạnh hay rét đậm nào không, kéo dài bao lâu?",weather_alert,"Cảnh báo thời tiết",district,"Huyện Ba Vì","cuối tuần","general",hard,"[""get_weather_alerts"", ""get_weather_change_alert"", ""get_pressure_trend"", ""get_rain_timeline"", ""get_hourly_forecast"", ""get_current_weather"", ""get_daily_forecast""]",False,False,"[""alerts"", ""wind_gust"", ""temp.min""]","#2 alert (gió giật + rét đậm dual)","Weekend multi-hazard alert + duration",v2_new,"weekend dual hazard"
v2_0442,"Tháng này ở Hà Nội có lạnh hơn các năm trước không?",seasonal_context,"Bối cảnh mùa",city,"Hà Nội","tháng này vs các năm trước","temperature_seasonal",easy,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""temp""]","seasonal direct (các năm trước signal)","Monthly cold city vs multi-year baseline",v2_new,"direct seasonal cold city"
v2_0443,"Sương mù năm nay ở Hà Nội có nhiều hơn trung bình mọi năm không?",seasonal_context,"Bối cảnh mùa",city,"Hà Nội","năm nay vs mọi năm","fog_seasonal",easy,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""weather"", ""humidity""]","seasonal direct (mọi năm baseline)","Yearly fog city vs multi-year baseline",v2_new,"direct seasonal fog city"
v2_0444,"Mùa hè năm nay ở quận Cầu Giấy có vẻ đến sớm hơn, mức độ ra sao so với năm ngoái?",seasonal_context,"Bối cảnh mùa",district,"Quận Cầu Giấy","mùa hè năm nay vs năm ngoái","temperature_seasonal",medium,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""temp"", ""temp.max""]","seasonal summer onset + YoY","Summer onset early district + YoY magnitude",v2_new,"summer onset YoY"
v2_0445,"Mưa tháng này ở quận Hà Đông có nhiều hơn trung bình các năm trước không?",seasonal_context,"Bối cảnh mùa",district,"Quận Hà Đông","tháng này vs các năm trước","rain_seasonal",medium,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""rain.1d""]","seasonal monthly rain vs multi-year","Monthly rain district vs baseline",v2_new,"monthly rain seasonal"
v2_0446,"Phường Hồng Hà tháng này có ẩm hơn trung bình các năm không?",seasonal_context,"Bối cảnh mùa",ward,"Phường Hồng Hà","tháng này vs các năm","humidity_seasonal",easy,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""humidity""]","seasonal humidity ward","Monthly humidity ward vs baseline",v2_new,"monthly humidity ward"
v2_0447,"Trời ở phường Sơn Tây dạo này có nóng hơn mọi năm không?",seasonal_context,"Bối cảnh mùa",ward,"Phường Sơn Tây (Sơn Tây)","dạo này vs mọi năm","temperature_seasonal",easy,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""temp"", ""temp.max""]","seasonal direct (mọi năm signal)","Recent heat ward vs multi-year",v2_new,"direct seasonal heat ward"
v2_0448,"Tháng vừa rồi ở phường Cửa Nam nhiệt độ cao nhất so với cùng kỳ năm trước chênh bao nhiêu?",seasonal_context,"Bối cảnh mùa",ward,"Phường Cửa Nam (Hoàn Kiếm)","tháng vừa rồi vs cùng kỳ năm trước","temperature_seasonal",medium,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""temp.max""]","seasonal monthly temp YoY","Monthly temp_max ward + YoY magnitude",v2_new,"monthly max YoY"
v2_0449,"Phường Bạch Mai năm nay đợt rét vừa rồi có kéo dài hơn so với mọi năm không?",seasonal_context,"Bối cảnh mùa",ward,"Phường Bạch Mai (Hai Bà Trưng)","đợt rét vừa rồi vs mọi năm","temperature_seasonal",medium,"[""get_seasonal_comparison"", ""compare_with_yesterday"", ""get_temperature_trend"", ""get_weather_history"", ""get_daily_summary"", ""get_current_weather"", ""get_hourly_forecast"", ""get_daily_forecast""]",False,False,"[""temp.min"", ""temp""]","seasonal cold spell duration vs baseline","Recent cold spell ward duration vs multi-year",v2_new,"cold spell duration seasonal"
