id,question,expected_intent,router_intent,intent_match,expected_scope,router_scope,scope_match,router_path,router_conf,fallback_reason,tools_called,expected_tools,tool_recall,location_in_args,all_pass,difficulty,notes
12,Tầm nhìn hiện tại ở sân bay Nội Bài có ổn không?,current_weather,current_weather,True,poi,district,False,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_clothing_advice",True,True,False,medium,POI đặc thù
13,Chiều nay ở quận Hai Bà Trưng có mưa không?,rain_query,rain_query,True,district,district,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,easy,Fix: cùng pattern Q47 - hỏi mưa cụ thể
14,"Tối nay ở phường Khương Đình, Thanh Xuân nhiệt độ khoảng bao nhiêu độ?",hourly_forecast,temperature_query,False,ward,ward,True,routed,0.9,,get_current_weather,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",False,True,False,easy,
15,Khoảng 9 giờ tối nay ở Cầu Giấy có lạnh không?,hourly_forecast,hourly_forecast,True,district,district,True,routed,0.9,,get_hourly_forecast,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,True,medium,Giờ cụ thể
16,Từ giờ đến nửa đêm ở Hà Nội có khả năng mưa lớn không?,hourly_forecast,rain_query,False,city,city,True,routed,0.9,,get_rain_timeline,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,False,medium,Khoảng thời gian
17,Đêm nay gió ở khu vực Tây Hồ mạnh không?,wind_query,hourly_forecast,False,district,district,True,routed,0.9,,get_hourly_forecast,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,False,easy,Hỏi gió mạnh không → wind_query
18,Trong 3 giờ tới ở phường Xuân Đỉnh có mưa rào hay giông không?,hourly_forecast,weather_alert,False,ward,ward,True,routed,0.9,,get_weather_change_alert,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",False,False,False,medium,
19,Sáng mai từ 6h đến 9h ở Long Biên trời có sương mù không?,hourly_forecast,hourly_forecast,True,district,district,True,routed,0.9,,get_hourly_forecast,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,True,medium,Khoảng giờ cụ thể
20,Mấy tiếng nữa ở Đống Đa mưa sẽ tạnh không?,hourly_forecast,hourly_forecast,True,district,district,True,routed,0.9,,get_hourly_forecast,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,True,hard,Câu hỏi ngầm định đang mưa
21,Từ 8h tối đến nửa đêm ở Thanh Trì có mưa không?,hourly_forecast,hourly_forecast,True,district,district,True,routed,0.9,,get_hourly_forecast,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,True,medium,
22,Lúc 2 giờ sáng mai ở nội thành Hà Nội nhiệt độ khoảng bao nhiêu?,hourly_forecast,hourly_forecast,True,city,city,True,routed,0.9,,get_hourly_forecast,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,True,medium,Rạng sáng
23,"Trưa nay ở Đông Anh nắng không, có ra ngoài được không?",hourly_forecast,hourly_forecast,True,district,district,True,routed,0.9,,get_hourly_forecast,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,True,easy,
24,Khoảng 7 giờ sáng mai ở Hoàn Kiếm trời như thế nào?,hourly_forecast,hourly_forecast,True,district,district,True,routed,0.9,,get_hourly_forecast,"get_hourly_forecast,get_rain_timeline,get_sunny_periods,get_daily_rhythm",True,True,True,medium,
25,Cuối tuần này thời tiết Hà Nội như thế nào?,daily_forecast,daily_forecast,True,city,city,True,routed,0.9,,get_weather_period,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,easy,
26,Thứ bảy ở quận Nam Từ Liêm trời có nắng không?,daily_forecast,daily_forecast,True,district,district,True,routed,0.9,,get_weather_period,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,easy,
27,Ba ngày tới ở Gia Lâm có mưa nhiều không?,daily_forecast,daily_forecast,True,district,district,True,routed,0.9,,get_daily_forecast,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,easy,
28,Tuần sau nhiệt độ ban ngày ở Hoàn Kiếm khoảng bao nhiêu độ?,daily_forecast,daily_forecast,True,district,district,True,routed,0.9,,get_weather_period,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,medium,
29,"Trong 7 ngày tới, ngày nào ở Long Biên khả năng mưa lớn cao nhất?",daily_forecast,daily_forecast,True,district,district,True,routed,0.9,,get_daily_forecast,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,hard,Câu hỏi so sánh nhiều ngày
30,"Dự báo thời tiết cả tuần cho phường Đống Đa, Đống Đa giúp mình.",daily_forecast,daily_forecast,True,ward,ward,True,routed,0.9,,get_weather_period,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,medium,
31,Ngày mai Hà Nội có nắng không?,daily_forecast,daily_forecast,True,city,city,True,routed,0.9,,get_daily_forecast,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,easy,
32,Thứ tư tuần này ở Hoàng Mai trời có mưa không?,daily_forecast,daily_forecast,True,district,district,True,routed,0.9,,get_daily_summary,"get_daily_forecast,get_weather_period,get_temperature_trend",False,True,False,easy,
33,Tuần này ngày nào ở Hà Nội đẹp nhất để ra ngoài?,daily_forecast,daily_forecast,True,city,city,True,routed,0.9,,get_weather_period,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,hard,Câu hỏi suy luận đa tiêu chí
34,Ngày mai ở huyện Đan Phượng nhiệt độ cao nhất là bao nhiêu?,daily_forecast,temperature_query,False,district,district,True,routed,0.9,,get_current_weather,"get_daily_forecast,get_weather_period,get_temperature_trend",False,True,False,easy,
35,Sáng thứ sáu tuần này ở Ba Đình thời tiết thế nào?,daily_forecast,daily_forecast,True,district,district,True,routed,0.9,,get_daily_summary,"get_daily_forecast,get_weather_period,get_temperature_trend",False,True,False,medium,Buổi cụ thể trong ngày
36,Năm ngày tới ở huyện Sóc Sơn mưa hay nắng?,daily_forecast,daily_forecast,True,district,district,True,routed,0.9,,get_daily_forecast,"get_daily_forecast,get_weather_period,get_temperature_trend",True,True,True,easy,
37,Bạn tóm tắt giúp mình thời tiết Hà Nội hôm nay đi.,weather_overview,weather_overview,True,city,city,True,routed,0.9,,get_daily_summary,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,True,easy,
38,Cho mình một bản tổng quan thời tiết 3 ngày tới ở quận Long Biên.,weather_overview,weather_overview,True,district,district,True,routed,0.9,,"get_daily_summary,get_daily_summary,get_daily_summary","get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,True,medium,
39,Mô tả ngắn gọn thời tiết tuần này ở Hà Nội để mình lên kế hoạch.,weather_overview,weather_overview,True,city,city,True,routed,0.9,,get_weather_period,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",False,False,False,medium,
40,Tình hình thời tiết chung ở Tây Hồ trong vài ngày tới thế nào?,weather_overview,weather_overview,True,district,district,True,routed,0.9,,get_daily_summary,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,True,easy,
41,Cho mình biết tổng quan thời tiết ngày mai ở Hà Nội với.,weather_overview,weather_overview,True,city,city,True,routed,0.9,,get_daily_summary,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,True,easy,
42,Nhận xét tổng thể về thời tiết Hà Nội cuối tuần này đi bạn.,weather_overview,weather_overview,True,city,city,True,routed,0.9,,get_weather_period,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",False,False,False,easy,
43,"Thời tiết tuần tới ở Hà Nội nói chung thế nào, có gì đặc biệt không?",weather_overview,weather_overview,True,city,city,True,routed,0.9,,"get_daily_summary,detect_phenomena","get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,True,medium,
44,Tóm tắt tình hình thời tiết ở Sóc Sơn trong 5 ngày tới.,weather_overview,daily_forecast,False,district,district,True,routed,0.9,,get_daily_forecast,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,False,medium,
45,Đánh giá tổng quan thời tiết ở Gia Lâm tuần này đi.,weather_overview,weather_overview,True,district,district,True,routed,0.9,,get_daily_summary,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,True,medium,
46,Khái quát thời tiết khu vực Ba Vì tháng này cho mình biết với.,weather_overview,weather_overview,True,district,district,True,routed,0.9,,get_daily_summary,"get_daily_summary,detect_phenomena,get_daily_rhythm,get_current_weather,get_daily_forecast",True,True,True,hard,Tháng vượt quá 8 ngày daily
47,Chiều nay ở Thanh Xuân có mưa không?,rain_query,rain_query,True,district,district,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,easy,
48,"Tối nay phường Tây Hồ, Tây Hồ có mưa rào hay giông không?",rain_query,weather_alert,False,ward,ward,True,routed,0.9,,get_weather_alerts,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,False,easy,
49,Trong 2 tiếng tới ở Hoàng Mai xác suất mưa là bao nhiêu phần trăm?,rain_query,rain_query,True,district,district,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,medium,Hỏi trực tiếp xác suất mưa
50,Hôm nay ở Hà Đông có mưa to kéo dài không?,rain_query,weather_alert,False,district,district,True,routed,0.9,,get_weather_alerts,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,False,easy,
51,Đêm nay ở nội thành Hà Nội có nguy cơ mưa lớn gây ngập không?,rain_query,weather_alert,False,city,city,True,routed,0.9,,get_weather_alerts,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,False,hard,Kết hợp nguy cơ ngập lụt
52,Từ giờ đến sáng mai ở Gia Lâm có mưa phùn không?,rain_query,rain_query,True,district,district,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,medium,Mưa phùn – weather id cụ thể
53,Tuần này Hà Nội có mưa nhiều không?,rain_query,rain_query,True,city,city,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,easy,
54,Lượng mưa dự kiến hôm nay ở Đông Anh là bao nhiêu mm?,rain_query,rain_query,True,district,district,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,medium,Hỏi lượng mưa mm
55,Ngày mai ở quận Hoàng Mai mưa vào khoảng mấy giờ?,rain_query,rain_query,True,district,district,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,hard,Hỏi thời điểm mưa cụ thể
56,Mưa ở Hà Nội hôm nay kéo dài đến bao giờ?,rain_query,rain_query,True,city,city,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,hard,Suy luận thời điểm kết thúc mưa
57,Cuối tuần ở Hà Nội xác suất mưa là bao nhiêu?,rain_query,rain_query,True,city,city,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,easy,
58,"Hà Nội mùa này hay có mưa phùn không, dự báo mấy ngày tới thế nào?",rain_query,rain_query,True,city,city,True,routed,0.9,,get_rain_timeline,"get_rain_timeline,get_hourly_forecast,get_daily_forecast,get_weather_alerts",True,True,True,hard,Câu hỏi ngữ cảnh mùa vụ
59,Bây giờ nhiệt độ ở Hoàn Kiếm là bao nhiêu độ?,temperature_query,temperature_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,easy,
60,Ngoài trời ở Cầu Giấy cảm giác có rét lắm không?,temperature_query,temperature_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,easy,
61,Chiều mai ở Thanh Xuân nhiệt độ cao nhất là bao nhiêu?,temperature_query,temperature_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,easy,
62,Đêm nay ở Đông Anh nhiệt độ thấp nhất khoảng bao nhiêu độ?,temperature_query,temperature_query,True,district,district,True,fallback,0.81,low_confidence: 0.81,get_daily_forecast,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,easy,
63,"Trong tuần này, ngày nào ở Hà Nội nóng nhất?",temperature_query,temperature_query,True,city,city,True,routed,0.9,,get_temperature_trend,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,hard,So sánh nhiều ngày
64,Chênh lệch nhiệt độ ngày và đêm ở Hà Nội hôm nay là bao nhiêu?,temperature_query,temperature_query,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,medium,Tính toán chênh lệch
65,Nhiệt độ buổi sáng sớm mai ở Ba Đình khoảng bao nhiêu?,temperature_query,temperature_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,easy,
66,"Trưa nay ở Hà Nội có nắng nóng gay gắt không, nhiệt độ bao nhiêu?",temperature_query,temperature_query,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,medium,Kết hợp cảm nhận nắng nóng
67,Khi nào thì Hà Nội ấm dần lên trong vài ngày tới?,temperature_query,temperature_query,True,city,city,True,routed,0.9,,get_temperature_trend,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,True,hard,Câu hỏi xu hướng
68,Nhiệt độ tối nay ở khu vực Mỹ Đình có xuống dưới 15 độ không?,temperature_query,temperature_query,True,poi,district,False,routed,0.9,,get_current_weather,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",True,True,False,medium,Kiểm tra ngưỡng nhiệt
69,Ngày mai ở huyện Ba Vì nhiệt độ cao nhất và thấp nhất là bao nhiêu?,temperature_query,temperature_query,True,district,district,True,fallback,0.81,low_confidence: 0.81,get_daily_summary,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",False,True,False,easy,
70,"Hà Nội mấy ngày tới có rét đậm không, nhiệt độ khoảng bao nhiêu?",temperature_query,weather_alert,False,city,city,True,routed,0.9,,get_weather_alerts,"get_current_weather,get_temperature_trend,get_hourly_forecast,get_daily_forecast",False,True,False,hard,Ngữ cảnh rét đậm (<15°C)
71,"Hiện tại gió ở Sóc Sơn mạnh không, hướng nào?",wind_query,wind_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,easy,
72,Tối nay ở quận Bắc Từ Liêm có gió to không?,wind_query,wind_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,easy,
73,Trong vài giờ tới ở Hà Nội có khả năng giông mạnh không?,weather_alert,weather_alert,True,city,city,True,routed,0.9,,get_weather_alerts,"get_weather_alerts,get_weather_change_alert,get_pressure_trend,get_rain_timeline,get_hourly_forecast",True,True,True,medium,Giông mạnh = hiện tượng thời tiết nguy hiểm
74,Ngày mai gió mùa về ở Hà Nội thì cảm giác lạnh sẽ như thế nào?,wind_query,wind_query,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,hard,Kết hợp cảm giác lạnh do gió
75,Gió giật tối nay ở Hà Nội mạnh nhất khoảng bao nhiêu m/s?,wind_query,wind_query,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,easy,
76,Tuần này có đợt gió lạnh mạnh nào ở Hà Nội không?,wind_query,wind_query,True,city,city,True,routed,0.9,,get_pressure_trend,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,medium,
77,Hướng gió hiện tại ở Gia Lâm là hướng nào?,wind_query,wind_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,easy,
78,Chiều nay đi xe máy ở Hà Nội có bị ảnh hưởng bởi gió mạnh không?,wind_query,wind_query,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,medium,Ứng dụng thực tế
79,Sáng mai ở Đông Anh gió đông bắc có mạnh không?,wind_query,wind_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,medium,Đề cập hướng gió cụ thể
80,Tốc độ gió trung bình hôm nay ở Hà Nội là bao nhiêu?,wind_query,wind_query,True,city,city,True,routed,0.9,,get_current_weather,"get_current_weather,get_hourly_forecast,get_pressure_trend",True,True,True,easy,
81,Sáng mai ở Quốc Oai có sương mù dày không?,humidity_fog_query,humidity_fog_query,True,district,district,True,routed,0.9,,detect_phenomena,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,medium,
82,Hiện tại ở Hà Đông độ ẩm khoảng bao nhiêu phần trăm?,humidity_fog_query,humidity_fog_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,easy,
83,"Chiều nay ở Tây Hồ trời có nhiều mây không, có đẹp để chụp ảnh hoàng hôn không?",humidity_fog_query,humidity_fog_query,True,district,district,True,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,medium,Gắn với hoạt động
84,Đêm nay ở nội thành Hà Nội tầm nhìn xa có bị hạn chế vì sương mù không?,humidity_fog_query,humidity_fog_query,True,city,city,True,routed,0.9,,detect_phenomena,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,medium,
85,Sáng sớm mai ở khu vực ngoại thành Hà Nội có sương mù lái xe nguy hiểm không?,humidity_fog_query,humidity_fog_query,True,city,city,True,routed,0.9,,detect_phenomena,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,hard,Ngữ cảnh an toàn giao thông
86,"Tối nay ở Thanh Xuân độ ẩm cao không, cảm giác ngột ngạt không?",humidity_fog_query,humidity_fog_query,True,district,district,True,routed,0.9,,get_humidity_timeline,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,easy,
87,Bầu trời Hà Nội tuần này có hay bị mây che nhiều không?,humidity_fog_query,humidity_fog_query,True,city,city,True,routed,0.9,,detect_phenomena,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,easy,
88,Hôm nay không khí ở Hà Nội khô hay ẩm?,humidity_fog_query,humidity_fog_query,True,city,city,True,routed,0.9,,get_humidity_timeline,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,easy,
89,"Mấy ngày nay Hà Nội hay nồm ẩm, hôm nay độ ẩm có cao không?",humidity_fog_query,humidity_fog_query,True,city,city,True,routed,0.9,,get_humidity_timeline,"get_current_weather,detect_phenomena,get_humidity_timeline",True,True,True,hard,Câu hỏi ngữ cảnh nồm ẩm VN
90,Tầm nhìn trên đường cao tốc Pháp Vân sáng mai thế nào?,humidity_fog_query,humidity_fog_query,True,poi,district,False,routed,0.9,,get_current_weather,"get_current_weather,detect_phenomena,get_humidity_timeline",True,False,False,medium,POI giao thông
91,Hôm qua ở Hà Nội nhiệt độ cao nhất là bao nhiêu độ?,historical_weather,historical_weather,True,city,city,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,easy,
92,Ngày 28/2 vừa rồi ở quận Đống Đa có mưa không?,historical_weather,historical_weather,True,district,district,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,medium,Ngày cụ thể trong quá khứ
93,Ba ngày trước ở Gia Lâm trời có rét đậm không?,historical_weather,historical_weather,True,district,district,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,medium,
94,"Bạn tóm tắt thời tiết hôm qua ở Long Biên giúp mình (mưa, nhiệt độ, gió).",historical_weather,historical_weather,True,district,district,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,medium,Tóm tắt nhiều thông số
95,Tuần trước Hà Nội có ngày nào nắng đẹp không?,historical_weather,historical_weather,True,city,city,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,hard,Nhiều lần gọi API
96,Hôm qua lượng mưa ở Hà Nội là bao nhiêu mm?,historical_weather,historical_weather,True,city,city,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,easy,
97,"Tháng 2 vừa rồi Hà Nội ngày nào rét nhất, bao nhiêu độ?",historical_weather,historical_weather,True,city,city,True,routed,0.9,,,"get_weather_history,get_daily_summary,get_weather_period",False,False,False,hard,"Nhiều call, cần lặp từng ngày"
98,"Hôm kia gió ở Hà Nội mạnh không, hướng nào?",historical_weather,historical_weather,True,city,city,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,easy,
99,Thứ 7 tuần trước ở quận Cầu Giấy trời thế nào?,historical_weather,historical_weather,True,district,district,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,medium,
100,Hôm qua nhiệt độ thấp nhất ở Sóc Sơn là bao nhiêu?,historical_weather,historical_weather,True,district,district,True,routed,0.9,,get_weather_history,"get_weather_history,get_daily_summary,get_weather_period",True,True,True,easy,
101,Hiện tại giữa Cầu Giấy và Hoàn Kiếm nơi nào mát hơn?,location_comparison,location_comparison,True,district,district,True,routed,0.9,,compare_weather,"compare_weather,get_ward_ranking_in_district,get_district_ranking,get_district_multi_compare",True,True,True,medium,"2 API call, cần so sánh"
102,Chiều nay mưa ở Hà Đông có nặng hơn so với Thanh Xuân không?,location_comparison,location_comparison,True,district,district,True,routed,0.9,,compare_weather,"compare_weather,get_ward_ranking_in_district,get_district_ranking,get_district_multi_compare",True,True,True,medium,
103,Tối nay gió ở Sóc Sơn với Bắc Từ Liêm nơi nào mạnh hơn?,location_comparison,location_comparison,True,district,district,True,routed,0.9,,compare_weather,"compare_weather,get_ward_ranking_in_district,get_district_ranking,get_district_multi_compare",True,True,True,medium,
104,So sánh thời tiết hiện tại ở Mỹ Đình và Times City giúp mình.,location_comparison,location_comparison,True,poi,district,False,routed,0.9,,compare_weather,"compare_weather,get_ward_ranking_in_district,get_district_ranking,get_district_multi_compare",True,True,False,medium,
105,Nội thành và ngoại thành Hà Nội tối nay nhiệt độ chênh nhau bao nhiêu?,location_comparison,location_comparison,True,city,city,True,routed,0.9,,get_district_multi_compare,"get_district_ranking,get_district_multi_compare,compare_weather",True,False,False,hard,Phân vùng nội/ngoại thành
106,Ngày mai ở Long Biên và Gia Lâm nơi nào có nhiều mưa hơn?,location_comparison,location_comparison,True,district,district,True,routed,0.9,,compare_weather,"compare_weather,get_ward_ranking_in_district,get_district_ranking,get_district_multi_compare",True,True,True,medium,
107,Hôm nay ở Tây Hồ và Hoàng Mai nơi nào ẩm hơn?,location_comparison,location_comparison,True,district,district,True,routed,0.9,,compare_weather,"compare_weather,get_ward_ranking_in_district,get_district_ranking,get_district_multi_compare",True,True,True,easy,
108,Cuối tuần này thời tiết ở nội thành khác ngoại thành Hà Nội như thế nào?,location_comparison,location_comparison,True,city,city,True,routed,0.9,,get_district_multi_compare,"get_district_ranking,get_district_multi_compare,compare_weather",True,False,False,hard,Câu hỏi mở rộng địa lý
109,Chiều nay ở Hồ Gươm thời tiết có phù hợp để đi dạo không?,activity_weather,activity_weather,True,poi,district,False,routed,0.9,,get_activity_advice,"get_activity_advice,get_best_time,get_uv_safe_windows,get_current_weather,get_comfort_index",True,True,False,easy,
110,"Tối nay ở Mỹ Đình mình chạy bộ có ổn không, có mưa hay gió to không?",activity_weather,activity_weather,True,poi,district,False,routed,0.9,,"get_activity_advice,get_uv_safe_windows,get_clothing_advice","get_activity_advice,get_best_time,get_uv_safe_windows,get_current_weather,get_comfort_index",True,False,False,easy,
111,Cuối tuần này thời tiết ở Ba Vì có thuận lợi để đi trekking không?,activity_weather,activity_weather,True,district,district,True,routed,0.9,,get_activity_advice,"get_activity_advice,get_best_time,get_uv_safe_windows,get_current_weather,get_comfort_index",True,True,True,medium,
112,Ngày mai ở Long Biên có nắng đủ để phơi quần áo ngoài trời không?,activity_weather,activity_weather,True,district,district,True,routed,0.9,,get_activity_advice,"get_activity_advice,get_best_time,get_uv_safe_windows,get_current_weather,get_comfort_index",True,True,True,easy,
