model,query,has_history,turn,gt_intent,gt_scope,gt_conf,pred_raw,pred_intent,pred_scope,pred_conf,route_ok,latency_ms
Qwen3-4B-v7,Ba Vì sáng sớm có sương muối không?,False,1,humidity_fog_query,district,0.74,"{""intent"": ""humidity_fog_query"", ""scope"": ""ward"", ""confidence"": 0.74, ""rewritten_query"": ""Xã Ba Vì sáng sớm có sương muối không?""}",humidity_fog_query,ward,0.74,False,3919.1
Qwen3-4B-v7,Chỉ số mây Hà Nội giờ này là bao nhiêu?,False,1,expert_weather_param,city,0.85,"{""intent"": ""expert_weather_param"", ""scope"": ""city"", ""confidence"": 0.85}",expert_weather_param,city,0.85,True,2102.1
Qwen3-4B-v7,"Bạn biết thời tiết ở Định Công, Hoàng Mai buổi tối ra sao không?",False,1,weather_overview,ward,0.74,"{""intent"": ""weather_overview"", ""scope"": ""ward"", ""confidence"": 0.74}",weather_overview,ward,0.74,True,2107.7
Qwen3-4B-v7,Mấy ngày tới ở Thanh Xuân thời tiết thế nào?,False,1,daily_forecast,district,0.74,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.74}",daily_forecast,district,0.74,True,2107.1
Qwen3-4B-v7,Hôm qua Hà Nội mưa không?,False,1,historical_weather,city,0.92,"{""intent"": ""historical_weather"", ""scope"": ""city"", ""confidence"": 0.85}",historical_weather,city,0.85,True,2102.0
Qwen3-4B-v7,Đêm nay có sương mù không bạn?,False,1,humidity_fog_query,city,0.85,"{""intent"": ""humidity_fog_query"", ""scope"": ""city"", ""confidence"": 0.85}",humidity_fog_query,city,0.85,True,2193.9
Qwen3-4B-v7,Xu hướng thời tiết phường Tương Mai mấy ngày qua?,False,1,seasonal_context,ward,0.92,"{""intent"": ""seasonal_context"", ""scope"": ""ward"", ""confidence"": 0.92}",seasonal_context,ward,0.92,True,2107.0
Qwen3-4B-v7,ngày nào nóng nhất?,True,2,temperature_query,ward,0.8,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Phường Đại Mỗ ngày nào nóng nhất tuần này?""}",daily_forecast,ward,0.8,False,3951.6
Qwen3-4B-v7,Có thông báo thời tiết gì không?,True,2,weather_alert,ward,0.8,"{""intent"": ""weather_alert"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Có cảnh báo thời tiết gì cho phường Hoàng Liệt không?""}",weather_alert,ward,0.8,True,4055.5
Qwen3-4B-v7,Huyện Mỹ Đức nói chung ra sao?,True,2,weather_overview,district,0.85,"{""intent"": ""weather_overview"", ""scope"": ""district"", ""confidence"": 0.85, ""rewritten_query"": ""Tổng quan thời tiết Huyện Mỹ Đức hôm nay""}",weather_overview,district,0.85,True,4244.1
Qwen3-4B-v7,Ba ngày trước ở Long Biên trời có nắng không?,False,1,historical_weather,district,0.74,"{""intent"": ""historical_weather"", ""scope"": ""district"", ""confidence"": 0.74}",historical_weather,district,0.74,True,2110.3
Qwen3-4B-v7,"Độ ẩm tại Phúc Sơn, Mỹ Đức giờ này thế nào?",False,1,humidity_fog_query,ward,0.74,"{""intent"": ""humidity_fog_query"", ""scope"": ""ward"", ""confidence"": 0.74}",humidity_fog_query,ward,0.74,True,2203.4
Qwen3-4B-v7,Sơn Đồng bây giờ thời tiết thế nào?,False,1,current_weather,ward,0.85,"{""intent"": ""current_weather"", ""scope"": ""ward"", ""confidence"": 0.85}",current_weather,ward,0.85,True,2020.6
Qwen3-4B-v7,Chiều nay gió ở Thanh Oai có gì đặc biệt không?,False,1,wind_query,district,0.74,"{""intent"": ""wind_query"", ""scope"": ""district"", ""confidence"": 0.74}",wind_query,district,0.74,True,2030.8
Qwen3-4B-v7,"Bữa nay thời tiết ở Phương Liệt, Thanh Xuân như thế nào nhỉ?",False,1,weather_overview,ward,0.74,"{""intent"": ""weather_overview"", ""scope"": ""ward"", ""confidence"": 0.74}",weather_overview,ward,0.74,True,2126.7
Qwen3-4B-v7,"Nhiệt độ ở Quảng Bị, Chương Mỹ giờ này bao nhiêu?",False,1,temperature_query,ward,0.74,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.74}",temperature_query,ward,0.74,True,2031.1
Qwen3-4B-v7,Quận Cầu Giấy tổng quan tuần này,False,1,weather_overview,district,0.92,"{""intent"": ""weather_overview"", ""scope"": ""district"", ""confidence"": 0.92, ""rewritten_query"": ""Tổng quan thời tiết Quận Cầu Giấy tuần này""}",weather_overview,district,0.92,True,3938.1
Qwen3-4B-v7,Quận Hoàn Kiếm cảnh báo gì không?,True,2,weather_alert,district,0.85,"{""intent"": ""weather_alert"", ""scope"": ""district"", ""confidence"": 0.85, ""rewritten_query"": ""Quận Hoàn Kiếm có cảnh báo thời tiết gì không?""}",weather_alert,district,0.85,True,4158.3
Qwen3-4B-v7,Thời tiết ở Hoài Đức mấy bữa nay có ấm lên hay lạnh đi?,False,1,seasonal_context,district,0.74,"{""intent"": ""seasonal_context"", ""scope"": ""district"", ""confidence"": 0.74}",seasonal_context,district,0.74,True,2123.2
Qwen3-4B-v7,thứ 4 thì sao?,True,3,daily_forecast,ward,0.8,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Dự báo Phường Cầu Giấy thứ 4 tuần sau thế nào?""}",daily_forecast,ward,0.8,True,4472.1
Qwen3-4B-v7,Ở Lăng Chủ tịch hay Nội Bài mát hơn?,False,1,location_comparison,ward,0.62,"{""intent"": ""location_comparison"", ""scope"": ""ward"", ""confidence"": 0.62}",location_comparison,ward,0.62,True,2024.7
Qwen3-4B-v7,Sáng mai ở Sóc Sơn có sương mù dày không?,False,1,humidity_fog_query,district,0.74,"{""intent"": ""humidity_fog_query"", ""scope"": ""district"", ""confidence"": 0.74}",humidity_fog_query,district,0.74,True,2207.7
Qwen3-4B-v7,ban la ai vay?,False,1,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2111.6
Qwen3-4B-v7,Chương Mỹ ngày mai thế nào?,False,1,daily_forecast,ward,0.74,"{""intent"":""daily_forecast"",""scope"":""ward"",""confidence"":0.74,""rewritten_query"":""Dự báo Xã Chương Mỹ ngày mai thế nào?""}",daily_forecast,ward,0.74,True,3177.9
Qwen3-4B-v7,Bây giờ ở phường Dịch Vọng có mưa không nhỉ?,False,1,current_weather,ward,0.92,"{""intent"": ""rain_query"", ""scope"": ""ward"", ""confidence"": 0.92}",rain_query,ward,0.92,False,2029.3
Qwen3-4B-v7,Dự báo thời tiết cho Hà Nội trong 48 tiếng tới thế nào?,False,1,daily_forecast,city,0.85,"{""intent"": ""hourly_forecast"", ""scope"": ""city"", ""confidence"": 0.85}",hourly_forecast,city,0.85,False,2209.2
Qwen3-4B-v7,Tối nay ở Hà Nội có gió xoáy mạnh không?,False,1,wind_query,city,0.85,"{""intent"": ""wind_query"", ""scope"": ""city"", ""confidence"": 0.85}",wind_query,city,0.85,True,2032.2
Qwen3-4B-v7,du bao thoi tiet ha noi theo gio toi nay,False,1,hourly_forecast,city,0.85,"{""intent"": ""hourly_forecast"", ""scope"": ""city"", ""confidence"": 0.85}",hourly_forecast,city,0.85,True,2207.3
Qwen3-4B-v7,"Cảm ơn nhé, tôi biết rồi!",True,2,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2263.9
Qwen3-4B-v7,Mưa to k bạn ơi?,False,1,weather_alert,city,0.85,"{""intent"": ""weather_alert"", ""scope"": ""city"", ""confidence"": 0.85}",weather_alert,city,0.85,True,2023.4
Qwen3-4B-v7,Thời tiết ở Phường Phú Thượng (Tây Hồ) có nóng hơn Phường Sơn Tây (Đông Anh) không?,False,1,location_comparison,ward,0.74,"{""intent"": ""location_comparison"", ""scope"": ""ward"", ""confidence"": 0.74}",location_comparison,ward,0.74,True,2082.0
Qwen3-4B-v7,hom nay troi dep qua nhi?,False,1,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2114.0
Qwen3-4B-v7,Gia Lâm sáng mai gió như thế nào?,True,2,wind_query,district,0.8,"{""intent"": ""wind_query"", ""scope"": ""district"", ""confidence"": 0.8}",wind_query,district,0.8,True,2075.4
Qwen3-4B-v7,Nhiệt độ thì sao?,True,2,temperature_query,ward,0.8,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Nhiệt độ Phường Đống Đa hôm nay bao nhiêu?""}",temperature_query,ward,0.8,True,4348.8
Qwen3-4B-v7,"5 ngày tới ở phường Phúc Lợi, Long Biên thời tiết thay đổi thế nào?",False,1,daily_forecast,ward,0.74,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.74}",daily_forecast,ward,0.74,True,2134.9
Qwen3-4B-v7,Cho mình biết mây ở Phường Bạch Mai,False,1,expert_weather_param,ward,0.92,"{""intent"": ""expert_weather_param"", ""scope"": ""ward"", ""confidence"": 0.92}",expert_weather_param,ward,0.92,True,2116.9
Qwen3-4B-v7,Cầu Giấy hay Đống Đa hôm nay mát hơn?,True,2,location_comparison,district,0.8,"{""intent"": ""location_comparison"", ""scope"": ""district"", ""confidence"": 0.8}",location_comparison,district,0.8,True,2075.8
Qwen3-4B-v7,Xu hướng thời tiết phường Phú Diễn mấy ngày qua?,False,1,seasonal_context,ward,0.92,"{""intent"": ""seasonal_context"", ""scope"": ""ward"", ""confidence"": 0.92}",seasonal_context,ward,0.92,True,2116.5
Qwen3-4B-v7,Chiều nay khoảng 2-3 giờ Hà Nội có mưa không?,False,1,hourly_forecast,city,0.85,"{""intent"": ""hourly_forecast"", ""scope"": ""city"", ""confidence"": 0.85}",hourly_forecast,city,0.85,True,2209.3
Qwen3-4B-v7,khu đó độ ẩm cao không?,True,2,humidity_fog_query,ward,0.8,"{""intent"": ""humidity_fog_query"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Phường Tây Mỗ độ ẩm hiện tại có cao không?""}",humidity_fog_query,ward,0.8,True,4352.8
Qwen3-4B-v7,ở đó có nóng không?,True,2,temperature_query,ward,0.8,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Xã Ứng Hòa hôm nay có nóng không?""}",temperature_query,ward,0.8,True,3872.6
Qwen3-4B-v7,Ngày mai quận Mỹ Đức trời sẽ ra sao nhỉ?,False,1,daily_forecast,district,0.92,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.92}",daily_forecast,district,0.92,True,2118.0
Qwen3-4B-v7,"Tuần này Hà Nội thời tiết ra sao, có nhiều mưa không?",False,1,daily_forecast,city,0.85,"{""intent"": ""daily_forecast"", ""scope"": ""city"", ""confidence"": 0.85}",daily_forecast,city,0.85,True,2121.0
Qwen3-4B-v7,Điểm sương (dew point) ở quận Đống Đa bây giờ là bao nhiêu?,False,1,expert_weather_param,district,0.92,"{""intent"": ""expert_weather_param"", ""scope"": ""district"", ""confidence"": 0.92}",expert_weather_param,district,0.92,True,2146.9
Qwen3-4B-v7,"ok minh hieu roi, cam on ban nhieu!",False,1,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2117.8
Qwen3-4B-v7,Trời ở Mê Linh hôm nay có mát mẻ không nhỉ?,False,1,smalltalk_weather,district,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""district"", ""confidence"": 0.62}",smalltalk_weather,district,0.62,True,2123.8
Qwen3-4B-v7,Phường Định Công có sương sáng nay không?,False,1,humidity_fog_query,ward,0.92,"{""intent"": ""humidity_fog_query"", ""scope"": ""ward"", ""confidence"": 0.92}",humidity_fog_query,ward,0.92,True,2205.4
Qwen3-4B-v7,Bao giờ qua?,True,2,weather_alert,ward,0.8,"{""intent"": ""weather_alert"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Bao giờ thì cảnh báo thời tiết ở phường Phú Diễn sẽ được解除?""}",weather_alert,ward,0.8,True,4245.7
Qwen3-4B-v7,"Có nên bơi lội ở Hoàng Mai, Hoàng Mai buổi tối không?",False,1,activity_weather,ward,0.74,"{""intent"": ""activity_weather"", ""scope"": ""ward"", ""confidence"": 0.74}",activity_weather,ward,0.74,True,2035.5
Qwen3-4B-v7,Sáng mai đi chạy bộ ở quận Tây Hồ được không?,False,1,activity_weather,district,0.92,"{""intent"": ""activity_weather"", ""scope"": ""district"", ""confidence"": 0.92}",activity_weather,district,0.92,True,2031.8
Qwen3-4B-v7,Ngày mai ở đó thế nào?,True,2,daily_forecast,ward,0.8,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Ngày mai ở phường Láng thời tiết thế nào?""}",daily_forecast,ward,0.8,True,3969.5
Qwen3-4B-v7,Đan Phượng ngày mai dự báo thế nào?,False,1,daily_forecast,ward,0.74,"{""intent"":""daily_forecast"",""scope"":""district"",""confidence"":0.85,""rewritten_query"":""Dự báo Huyện Đan Phượng ngày mai thế nào?""}",daily_forecast,district,0.85,False,3384.8
Qwen3-4B-v7,tuần sau có nắng không?,True,2,daily_forecast,ward,0.8,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Xã Tiến Thắng tuần sau có nắng không?""}",daily_forecast,ward,0.8,True,3777.7
Qwen3-4B-v7,Liệu gió ở Cầu Giấy bây giờ có mạnh không nhỉ?,False,1,wind_query,ward,0.74,"{""intent"": ""wind_query"", ""scope"": ""district"", ""confidence"": 0.74}",wind_query,district,0.74,False,2035.1
Qwen3-4B-v7,"Lúc này ở Thiên Lộc, Đông Anh trời ra sao?",False,1,current_weather,ward,0.74,"{""intent"": ""current_weather"", ""scope"": ""ward"", ""confidence"": 0.74}",current_weather,ward,0.74,True,2032.8
Qwen3-4B-v7,Ngoài trời gió thổi nhiều không bạn?,False,1,wind_query,city,0.85,"{""intent"": ""wind_query"", ""scope"": ""city"", ""confidence"": 0.85}",wind_query,city,0.85,True,2027.5
Qwen3-4B-v7,Chỉ số tia UV ở Ba Đình trưa nay khoảng mức nào?,False,1,expert_weather_param,district,0.74,"{""intent"": ""expert_weather_param"", ""scope"": ""district"", ""confidence"": 0.74}",expert_weather_param,district,0.74,True,2121.5
Qwen3-4B-v7,Bây giờ ở xã Đông Anh thì nhiệt độ đang ở mức nào?,False,1,temperature_query,ward,0.92,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.92}",temperature_query,ward,0.92,True,2031.9
Qwen3-4B-v7,tu gio den sang mai o gia lam co mua phun khong?,False,1,rain_query,district,0.74,"{""intent"": ""rain_query"", ""scope"": ""district"", ""confidence"": 0.74}",rain_query,district,0.74,True,2033.7
Qwen3-4B-v7,Xu hướng thời tiết phường Phú Diễn mấy ngày qua?,False,1,seasonal_context,ward,0.92,"{""intent"": ""seasonal_context"", ""scope"": ""ward"", ""confidence"": 0.92}",seasonal_context,ward,0.92,True,2121.0
Qwen3-4B-v7,Sáng mai ở Hà Đông có khả năng mưa không?,False,1,rain_query,district,0.74,"{""intent"": ""rain_query"", ""scope"": ""district"", ""confidence"": 0.74}",rain_query,district,0.74,True,2029.2
Qwen3-4B-v7,Dự báo ngày mai cho quận Mỹ Đức,False,1,daily_forecast,district,0.92,"{""intent"": ""daily_forecast"", ""scope"": ""district"", ""confidence"": 0.92}",daily_forecast,district,0.92,True,2114.9
Qwen3-4B-v7,"Hôm nay không khí mát quá, thích thật!",False,1,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2116.4
Qwen3-4B-v7,ở đó hôm qua có mưa không?,True,2,historical_weather,ward,0.8,"{""intent"": ""historical_weather"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Hôm qua Xã Yên Bài có mưa không?""}",historical_weather,ward,0.8,True,3872.1
Qwen3-4B-v7,"Ngọc Hồi, Thanh Trì hiện tại đang nóng bao nhiêu độ?",False,1,temperature_query,ward,0.74,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.74}",temperature_query,ward,0.74,True,2038.0
Qwen3-4B-v7,Ứng dụng này lấy dữ liệu thời tiết từ đâu vậy?,False,1,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2117.8
Qwen3-4B-v7,ngoai troi o hoan kiem gio nhiet do bao nhieu do?,False,1,temperature_query,district,0.74,"{""intent"": ""temperature_query"", ""scope"": ""district"", ""confidence"": 0.74}",temperature_query,district,0.74,True,2035.5
Qwen3-4B-v7,cuoi tuan nay co bao hay ap thap nhiet doi anh huong den ha noi khong?,False,1,weather_alert,city,0.85,"{""intent"": ""weather_alert"", ""scope"": ""city"", ""confidence"": 0.85}",weather_alert,city,0.85,True,2069.0
Qwen3-4B-v7,Phường Phú Lương ngay bây giờ tốc độ gió bao nhiêu?,False,1,wind_query,ward,0.92,"{""intent"": ""wind_query"", ""scope"": ""ward"", ""confidence"": 0.92}",wind_query,ward,0.92,True,2032.7
Qwen3-4B-v7,Bữa nay ở Văn Miếu có dự báo thời tiết nào không an toàn không?,False,1,weather_alert,district,0.85,"{""intent"": ""weather_alert"", ""scope"": ""district"", ""confidence"": 0.85}",weather_alert,district,0.85,True,2039.4
Qwen3-4B-v7,Quận nào ở Hà Nội đang mưa?,False,1,location_comparison,city,0.92,"{""intent"": ""location_comparison"", ""scope"": ""city"", ""confidence"": 0.92}",location_comparison,city,0.92,True,2028.9
Qwen3-4B-v7,Mưa ở Hà Nội hôm nay kéo dài đến bao giờ?,False,1,weather_alert,city,0.92,"{""intent"": ""weather_alert"", ""scope"": ""city"", ""confidence"": 0.92}",weather_alert,city,0.92,True,2031.6
Qwen3-4B-v7,Hai Bà Trưng nóng bao nhiêu độ?,False,1,temperature_query,ward,0.74,"{""intent"": ""temperature_query"", ""scope"": ""ward"", ""confidence"": 0.74, ""rewritten_query"": ""Phường Hai Bà Trưng hôm nay nhiệt độ bao nhiêu?""}",temperature_query,ward,0.74,True,4042.7
Qwen3-4B-v7,Quận Sơn Tây hôm nay có thông tin thời tiết theo giờ như thế nào?,False,1,hourly_forecast,district,0.92,"{""intent"": ""hourly_forecast"", ""scope"": ""district"", ""confidence"": 0.92}",hourly_forecast,district,0.92,True,2217.9
Qwen3-4B-v7,Hà Nội bữa nay có bị gió mạnh làm khó chịu không?,False,1,wind_query,city,0.85,"{""intent"": ""wind_query"", ""scope"": ""city"", ""confidence"": 0.85}",wind_query,city,0.85,True,2033.5
Qwen3-4B-v7,o phuong chuong my chieu nay thoi tiet bien doi the nao?,False,1,hourly_forecast,ward,0.85,"{""intent"": ""hourly_forecast"", ""scope"": ""ward"", ""confidence"": 0.85}",hourly_forecast,ward,0.85,True,2220.5
Qwen3-4B-v7,chieu nay ha noi nhiet do cao nhat la bao nhieu ta?,False,1,temperature_query,city,0.85,"{""intent"": ""temperature_query"", ""scope"": ""city"", ""confidence"": 0.85}",temperature_query,city,0.85,True,2036.7
Qwen3-4B-v7,Bữa nay có thích hợp để đi câu cá ở Sóc Sơn không nhỉ?,False,1,activity_weather,district,0.74,"{""intent"": ""activity_weather"", ""scope"": ""district"", ""confidence"": 0.74}",activity_weather,district,0.74,True,2034.6
Qwen3-4B-v7,Phường Chương Mỹ hôm nay nhiệt độ bao nhiêu?,False,1,temperature_query,ward,0.92,"{""intent"":""temperature_query"",""scope"":""ward"",""confidence"":0.92,""rewritten_query"":""Nhiệt độ Phường Chương Mỹ hôm nay bao nhiêu?""}",temperature_query,ward,0.92,True,3399.9
Qwen3-4B-v7,Hôm nay ở đó thế nào?,True,2,current_weather,district,0.8,"{""intent"": ""current_weather"", ""scope"": ""district"", ""confidence"": 0.8, ""rewritten_query"": ""Hôm nay ở Huyện Sóc Sơn thời tiết thế nào?""}",current_weather,district,0.8,True,4158.1
Qwen3-4B-v7,Tổng quan thời tiết Sóc Sơn chiều nay,False,1,weather_overview,district,0.74,"{""intent"": ""weather_overview"", ""scope"": ""district"", ""confidence"": 0.74}",weather_overview,district,0.74,True,2119.5
Qwen3-4B-v7,Thời tiết Hà Nội gần đây biến đổi ra sao?,False,1,seasonal_context,city,0.85,"{""intent"": ""seasonal_context"", ""scope"": ""city"", ""confidence"": 0.85}",seasonal_context,city,0.85,True,2118.0
Qwen3-4B-v7,Hướng gió tại Gia Lâm bây giờ đang thổi theo hướng nào?,False,1,wind_query,district,0.74,"{""intent"": ""wind_query"", ""scope"": ""district"", ""confidence"": 0.74}",wind_query,district,0.74,True,2033.8
Qwen3-4B-v7,Thời tiết Xã Bất Bạt sáng mai ra sao?,False,1,hourly_forecast,ward,0.92,"{""intent"": ""hourly_forecast"", ""scope"": ""ward"", ""confidence"": 0.92}",hourly_forecast,ward,0.92,True,2212.8
Qwen3-4B-v7,"Sáng nay 6-9h dự báo theo giờ ở phường Láng, Đống Đa?",False,1,hourly_forecast,ward,0.92,"{""intent"": ""hourly_forecast"", ""scope"": ""ward"", ""confidence"": 0.74}",hourly_forecast,ward,0.74,True,2245.4
Qwen3-4B-v7,Hoài Đức cuối tuần có mưa không?,False,1,rain_query,ward,0.74,"{""intent"": ""rain_query"", ""scope"": ""ward"", ""confidence"": 0.74, ""rewritten_query"": ""Xã Hoài Đức cuối tuần có mưa không?""}",rain_query,ward,0.74,True,3565.7
Qwen3-4B-v7,Tốt nhất đi bộ lúc mấy giờ?,True,2,activity_weather,ward,0.8,"{""intent"": ""activity_weather"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Tốt nhất nên đi bộ lúc mấy giờ ở phường Yên Hòa?""}",activity_weather,ward,0.8,True,4064.6
Qwen3-4B-v7,"Chiều ngày mai, xã Phù Đổng có thời tiết thế nào nhỉ?",False,1,daily_forecast,ward,0.92,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.92}",daily_forecast,ward,0.92,True,2128.4
Qwen3-4B-v7,khu đó có cảnh báo gì không?,True,2,weather_alert,ward,0.8,"{""intent"": ""weather_alert"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Xã Vĩnh Thanh có cảnh báo thời tiết gì không?""}",weather_alert,ward,0.8,True,3876.9
Qwen3-4B-v7,"Trưa nay, thời tiết ở Kim Liên, Đống Đa được dự đoán ra sao theo từng giờ?",False,1,hourly_forecast,ward,0.74,"{""intent"": ""hourly_forecast"", ""scope"": ""ward"", ""confidence"": 0.74}",hourly_forecast,ward,0.74,True,2259.9
Qwen3-4B-v7,Hôm nay ở Phường Cầu Giấy có cần mặc ấm không?,False,1,smalltalk_weather,ward,0.92,"{""intent"": ""smalltalk_weather"", ""scope"": ""ward"", ""confidence"": 0.92}",smalltalk_weather,ward,0.92,True,2127.0
Qwen3-4B-v7,Hát Môn dạo này thời tiết có điểm gì đáng chú ý không?,False,1,seasonal_context,ward,0.85,"{""intent"": ""seasonal_context"", ""scope"": ""ward"", ""confidence"": 0.85}",seasonal_context,ward,0.85,True,2125.7
Qwen3-4B-v7,Thứ 7 này thời tiết ở xã Bình Minh như thế nào nhỉ?,False,1,daily_forecast,ward,0.92,"{""intent"": ""daily_forecast"", ""scope"": ""ward"", ""confidence"": 0.92}",daily_forecast,ward,0.92,True,2123.9
Qwen3-4B-v7,"Cho mình hỏi thời tiết ở Láng, Quận Đống Đa",False,1,current_weather,ward,0.92,"{""intent"": ""current_weather"", ""scope"": ""ward"", ""confidence"": 0.92}",current_weather,ward,0.92,True,2031.2
Qwen3-4B-v7,Thời tiết ở Quảng Ninh cuối tuần này thế nào?,False,1,smalltalk_weather,city,0.62,"{""intent"": ""smalltalk_weather"", ""scope"": ""city"", ""confidence"": 0.62}",smalltalk_weather,city,0.62,True,2118.2
Qwen3-4B-v7,có thả diều được không?,True,2,activity_weather,ward,0.8,"{""intent"": ""activity_weather"", ""scope"": ""ward"", ""confidence"": 0.8, ""rewritten_query"": ""Phường Bồ Đề hôm nay có thể thả diều không?""}",activity_weather,ward,0.8,True,4160.8
Qwen3-4B-v7,"Bạn có biết thời tiết ở Định Công, Hoàng Mai vào buổi tối ra sao không?",False,1,weather_overview,ward,0.74,"{""intent"": ""weather_overview"", ""scope"": ""ward"", ""confidence"": 0.74}",weather_overview,ward,0.74,True,2127.4
Qwen3-4B-v7,Thời tiết Hà Nội có gì đáng lo hôm nay?,False,1,weather_alert,city,0.92,"{""intent"": ""weather_alert"", ""scope"": ""city"", ""confidence"": 0.92}",weather_alert,city,0.92,True,2030.9
