idx,query,expected_intent,predicted_intent,expected_scope,predicted_scope,confidence,error_category,category_description,scope_also_wrong
393,Mây mù ở Hồ Trúc Bạch giờ này như thế nào?,expert_weather_param,humidity_fog_query,district,district,0.88,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
394,Chiều nay ở Thanh Xuân có mưa không?,rain_query,hourly_forecast,district,district,0.9,temporal_overlap,Ambiguity between forecast horizons (daily vs hourly vs rain),False
396,Từ giờ đến tối trời biến chuyển ra sao?,hourly_forecast,weather_alert,city,city,0.86,alert_vs_info,Weather alert vs informational query confusion,False
412,"Tối nay ở Phường Khương Đình, Thanh Xuân nhiệt độ khoảng bao nhiêu độ?",hourly_forecast,temperature_query,ward,ward,0.83,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
420,Hôm nay thời tiết có gì thú vị không?,weather_alert,weather_overview,city,city,0.87,alert_vs_info,Weather alert vs informational query confusion,False
435,Mưa ở Hà Nội hôm nay kéo dài đến bao giờ?,weather_alert,rain_query,city,city,0.9,alert_vs_info,Weather alert vs informational query confusion,False
495,Chỗ đó tối nay có mưa không?,hourly_forecast,rain_query,district,district,0.91,temporal_overlap,Ambiguity between forecast horizons (daily vs hourly vs rain),False
499,Hôm nay ở Tây Hồ và Hoàng Mai nơi nào ẩm hơn?,location_comparison,humidity_fog_query,district,district,0.9,comparison_vs_single,Location comparison vs single-location query,False
506,"Thời tiết khu vực Times City chiều nay ra sao, có mưa không?",rain_query,weather_overview,district,district,0.9,temporal_overlap,Ambiguity between forecast horizons (daily vs hourly vs rain),False
529,vai gio toi o hai ba trung troi co chuyen khong?,weather_alert,hourly_forecast,district,district,0.88,alert_vs_info,Weather alert vs informational query confusion,False
530,Ngày mai thời tiết ra sao?,location_comparison,daily_forecast,city,city,0.95,scope_ambiguity,Overlap between overview and specific forecast types,False
537,Hôm nay ở Lăng Bác có nên mặc đồ gì cho hợp lý không?,smalltalk_weather,activity_weather,district,district,0.9,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
584,Thời tiết ở Hoài Đức hôm nay có cần mang theo dù không?,smalltalk_weather,rain_query,district,district,0.93,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
587,Bên Hoài Đức giờ này thì trời có mây không?,current_weather,humidity_fog_query,district,district,0.86,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
596,"Tối nay ở phường Khương Trung, Thanh Xuân nhiệt độ khoảng bao nhiêu độ?",hourly_forecast,temperature_query,ward,ward,0.83,specificity_mismatch,"General weather vs specific parameter (temp, wind, humidity)",False
598,"Trưa nay có gì bất thường ở Minh Châu, Ba Vì không nhỉ?",weather_alert,seasonal_context,ward,ward,0.9,alert_vs_info,Weather alert vs informational query confusion,False
612,"du bao thoi tiet phu dong, gia lam 3 gio nua",daily_forecast,hourly_forecast,ward,ward,0.88,temporal_granularity,Confusion between hourly and daily time scales,False
635,Thời tiết ở Hoài Đức hôm nay có cần mang theo dù không?,smalltalk_weather,rain_query,district,district,0.93,formality_mismatch,Casual/smalltalk query misclassified as specific intent,False
661,Nhiều hơn tuần này không?,seasonal_context,historical_weather,district,district,0.88,temporal_scope,Seasonal/historical vs daily forecast confusion,False
